epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1501.37,0.99043,0.58711,0.01182,0.85388,0.79516,0.88115,0.7192,0.88627,0.58352,0.01344,0.0005941,0.0005941,0.0005941
43,1537.02,0.99558,0.58112,0.0116,0.83339,0.84664,0.89644,0.72928,0.86872,0.54858,0.0131,0.0005842,0.0005842,0.0005842
44,1573,0.99175,0.57693,0.01163,0.81538,0.85917,0.8686,0.70224,0.8743,0.58128,0.01332,0.0005743,0.0005743,0.0005743
45,1610.56,0.97672,0.55462,0.0117,0.88185,0.85192,0.92269,0.75422,0.87023,0.48756,0.01285,0.0005644,0.0005644,0.0005644
46,1649.23,0.97944,0.56174,0.01142,0.862,0.87435,0.91155,0.74159,0.88056,0.51928,0.01352,0.0005545,0.0005545,0.0005545
47,1690.86,0.96177,0.55149,0.0116,0.84533,0.89641,0.90978,0.71649,0.90028,0.54004,0.01371,0.0005446,0.0005446,0.0005446
48,1726.72,0.96687,0.55707,0.01148,0.86671,0.85941,0.91444,0.73114,0.86769,0.51721,0.0126,0.0005347,0.0005347,0.0005347
49,1763.88,0.9751,0.55754,0.01135,0.8627,0.86005,0.91353,0.74983,0.85181,0.48879,0.01275,0.0005248,0.0005248,0.0005248
50,1801.89,0.96771,0.53867,0.01136,0.83099,0.88186,0.89931,0.73809,0.85883,0.54184,0.01272,0.0005149,0.0005149,0.0005149
51,1837.16,0.95628,0.53219,0.01128,0.85416,0.89394,0.92879,0.76019,0.87522,0.45014,0.01317,0.000505,0.000505,0.000505
52,1874.44,0.95323,0.54132,0.0111,0.84651,0.87288,0.91564,0.7468,0.85703,0.5057,0.01265,0.0004951,0.0004951,0.0004951
53,1911.25,0.94735,0.52706,0.01145,0.87171,0.8565,0.89486,0.71788,0.88305,0.55851,0.01345,0.0004852,0.0004852,0.0004852
54,1945.51,0.95815,0.53207,0.01105,0.854,0.84959,0.87738,0.71221,0.86255,0.5549,0.01293,0.0004753,0.0004753,0.0004753
55,1979.69,0.94295,0.51236,0.01097,0.86276,0.86986,0.91076,0.75181,0.84543,0.52474,0.0124,0.0004654,0.0004654,0.0004654
56,2019.04,0.92709,0.51953,0.0109,0.86025,0.85655,0.91693,0.75115,0.85117,0.51387,0.01247,0.0004555,0.0004555,0.0004555
57,2058.27,0.91537,0.51829,0.01068,0.82925,0.87072,0.89086,0.73083,0.85413,0.54859,0.01262,0.0004456,0.0004456,0.0004456
58,2094.36,0.94019,0.50616,0.01087,0.85441,0.87521,0.89564,0.74461,0.84025,0.51988,0.01234,0.0004357,0.0004357,0.0004357
59,2128.8,0.92002,0.50554,0.0107,0.87548,0.87287,0.91283,0.75305,0.85528,0.47312,0.01271,0.0004258,0.0004258,0.0004258
60,2167.34,0.91015,0.48853,0.01052,0.8481,0.85968,0.90894,0.75373,0.85148,0.5139,0.01272,0.0004159,0.0004159,0.0004159
61,2203.61,0.91224,0.489,0.01047,0.88764,0.86327,0.92498,0.75941,0.85749,0.47837,0.01263,0.000406,0.000406,0.000406
62,2241.42,0.91396,0.48957,0.01042,0.86089,0.86352,0.92121,0.76004,0.83647,0.48906,0.01227,0.0003961,0.0003961,0.0003961
63,2276.18,0.90669,0.49914,0.01062,0.83885,0.88931,0.90998,0.75345,0.84312,0.50859,0.01241,0.0003862,0.0003862,0.0003862
64,2312.24,0.90168,0.48891,0.01036,0.8868,0.86264,0.93129,0.75908,0.85748,0.47364,0.01259,0.0003763,0.0003763,0.0003763
65,2348.45,0.8838,0.47522,0.01042,0.88572,0.87771,0.93269,0.76631,0.84522,0.46886,0.01241,0.0003664,0.0003664,0.0003664
66,2388.71,0.88891,0.47879,0.01035,0.84716,0.88743,0.92508,0.76141,0.84362,0.46845,0.01231,0.0003565,0.0003565,0.0003565
67,2424.95,0.88051,0.48204,0.01007,0.84066,0.87454,0.9229,0.77203,0.83353,0.47414,0.01211,0.0003466,0.0003466,0.0003466
68,2460.79,0.8862,0.47992,0.01014,0.8518,0.87728,0.92396,0.76354,0.82953,0.49962,0.01203,0.0003367,0.0003367,0.0003367
69,2496.74,0.88982,0.47285,0.01005,0.89029,0.89733,0.92694,0.76632,0.82377,0.48746,0.01198,0.0003268,0.0003268,0.0003268
70,2532.79,0.87792,0.46315,0.01033,0.86226,0.88363,0.91829,0.76435,0.83382,0.4934,0.01218,0.0003169,0.0003169,0.0003169
71,2570.05,0.87203,0.46177,0.00998,0.87236,0.88827,0.92288,0.77232,0.82906,0.46596,0.01208,0.000307,0.000307,0.000307
72,2606.1,0.87253,0.47326,0.01005,0.84989,0.89439,0.9203,0.77005,0.82393,0.4889,0.01201,0.0002971,0.0002971,0.0002971
73,2640.37,0.86769,0.46462,0.01003,0.85694,0.8661,0.92105,0.76713,0.81736,0.47622,0.01172,0.0002872,0.0002872,0.0002872
74,2676.42,0.8793,0.45419,0.00986,0.87847,0.90634,0.93574,0.78132,0.81936,0.46108,0.01192,0.0002773,0.0002773,0.0002773
75,2711.38,0.85238,0.45597,0.00987,0.89979,0.87396,0.92127,0.77042,0.82174,0.47412,0.01196,0.0002674,0.0002674,0.0002674
76,2747.01,0.86226,0.45157,0.00982,0.87823,0.8854,0.92936,0.78239,0.81249,0.45667,0.01182,0.0002575,0.0002575,0.0002575
77,2782.98,0.83833,0.45275,0.00969,0.82348,0.89743,0.90864,0.7621,0.81186,0.48354,0.01185,0.0002476,0.0002476,0.0002476
78,2819.27,0.85423,0.44494,0.00963,0.85554,0.89811,0.92675,0.77725,0.81296,0.45987,0.0117,0.0002377,0.0002377,0.0002377
79,2855.33,0.8375,0.43814,0.0096,0.89778,0.87142,0.92949,0.7793,0.8122,0.47114,0.01178,0.0002278,0.0002278,0.0002278
80,2889.91,0.84212,0.44479,0.00969,0.86171,0.89158,0.91881,0.768,0.81276,0.48991,0.01178,0.0002179,0.0002179,0.0002179
81,2926.2,0.85663,0.44089,0.00932,0.86896,0.87513,0.91733,0.76759,0.80495,0.49552,0.01168,0.000208,0.000208,0.000208
82,2962.16,0.85036,0.44385,0.00959,0.84555,0.89745,0.92269,0.77947,0.80418,0.45758,0.01164,0.0001981,0.0001981,0.0001981
83,2998.13,0.83367,0.44056,0.00946,0.85743,0.88837,0.92322,0.78021,0.80079,0.46851,0.01151,0.0001882,0.0001882,0.0001882
84,3032.55,0.83914,0.4348,0.00937,0.88157,0.90229,0.93225,0.7879,0.79378,0.45317,0.01142,0.0001783,0.0001783,0.0001783
85,3066.78,0.8252,0.43888,0.00923,0.87437,0.91068,0.9297,0.78689,0.79322,0.45084,0.01137,0.0001684,0.0001684,0.0001684
86,3103.31,0.82996,0.43776,0.00943,0.88934,0.89335,0.92851,0.78629,0.7859,0.46129,0.01128,0.0001585,0.0001585,0.0001585
87,3139.42,0.81018,0.4303,0.00921,0.86691,0.89962,0.92958,0.7874,0.78751,0.44131,0.01121,0.0001486,0.0001486,0.0001486
88,3175.52,0.80207,0.42616,0.00926,0.9003,0.87325,0.93311,0.78196,0.79147,0.44072,0.01124,0.0001387,0.0001387,0.0001387
89,3209.93,0.82671,0.42461,0.00903,0.90703,0.88419,0.93155,0.78402,0.79473,0.45213,0.0114,0.0001288,0.0001288,0.0001288
90,3244.36,0.83046,0.43864,0.00921,0.90258,0.86955,0.93058,0.78921,0.78731,0.4605,0.01128,0.0001189,0.0001189,0.0001189
91,3279.55,0.78716,0.32126,0.01078,0.87285,0.89401,0.92336,0.77443,0.8055,0.47979,0.01158,0.000109,0.000109,0.000109
92,3313.07,0.77359,0.30677,0.01081,0.88215,0.90751,0.92845,0.78367,0.79552,0.46796,0.01136,9.91e-05,9.91e-05,9.91e-05
93,3346.69,0.76649,0.30072,0.01027,0.87548,0.87985,0.92165,0.77682,0.80169,0.49151,0.01157,8.92e-05,8.92e-05,8.92e-05
94,3380.13,0.75815,0.29906,0.01032,0.85715,0.90991,0.9233,0.78026,0.79516,0.47915,0.01137,7.93e-05,7.93e-05,7.93e-05
95,3413.77,0.75874,0.29069,0.01023,0.85492,0.91044,0.92247,0.78172,0.79399,0.49296,0.01141,6.94e-05,6.94e-05,6.94e-05
96,3447.27,0.75243,0.29537,0.01047,0.85896,0.89173,0.92245,0.78075,0.79115,0.4906,0.01132,5.95e-05,5.95e-05,5.95e-05
97,3480.56,0.74574,0.2903,0.01026,0.84466,0.90607,0.92027,0.77957,0.78435,0.5091,0.01123,4.96e-05,4.96e-05,4.96e-05
98,3514.03,0.74186,0.29099,0.0101,0.86923,0.88389,0.91892,0.77916,0.7832,0.50604,0.01116,3.97e-05,3.97e-05,3.97e-05
99,3547.46,0.73235,0.28716,0.00999,0.87025,0.87162,0.9203,0.78239,0.78224,0.48966,0.01114,2.98e-05,2.98e-05,2.98e-05
100,3580.87,0.72906,0.28078,0.00975,0.86408,0.86564,0.9192,0.78162,0.78242,0.49985,0.01118,1.99e-05,1.99e-05,1.99e-05
